[2018/07/31 08:36:48] MSG - wx6054b990b2f13757 - Get New AccessToken Success.
[2018/07/31 08:36:48] ERR - wx6054b990b2f13757 - Run createCondMenu Faild. there is no selfmenu, please create selfmenu first hint: [ogc8ca02083127][65303]
[2018/07/31 08:38:14] ERR - wx6054b990b2f13757 - Run createCondMenu Faild. there is no selfmenu, please create selfmenu first hint: [gvJwRa02941978][65303]
[2018/07/31 08:45:07] ERR - wx6054b990b2f13757 - Run createCondMenu Faild. there is no selfmenu, please create selfmenu first hint: [IO9LRa07073125][65303]
[2018/07/31 08:45:12] ERR - wx6054b990b2f13757 - Run createCondMenu Faild. there is no selfmenu, please create selfmenu first hint: [GFIAVA07123129][65303]
[2018/07/31 08:45:24] ERR - wx6054b990b2f13757 - Run createCondMenu Faild. there is no selfmenu, please create selfmenu first hint: [UDGorA07241960][65303]
[2018/07/31 08:45:30] ERR - wx6054b990b2f13757 - Run createCondMenu Faild. there is no selfmenu, please create selfmenu first hint: [IYwNQA07301960][65303]
[2018/07/31 08:45:33] ERR - wx6054b990b2f13757 - Run createCondMenu Faild. there is no selfmenu, please create selfmenu first hint: [cDtyPA07332297][65303]
[2018/07/31 08:45:35] ERR - wx6054b990b2f13757 - Run createCondMenu Faild. there is no selfmenu, please create selfmenu first hint: [E0ff07351891][65303]
[2018/07/31 08:45:36] ERR - wx6054b990b2f13757 - Run createCondMenu Faild. there is no selfmenu, please create selfmenu first hint: [YyD8EA07361959][65303]
[2018/07/31 08:50:34] ERR - wx6054b990b2f13757 - Run createCondMenu Faild. there is no selfmenu, please create selfmenu first hint: [P00343131][65303]
[2018/07/31 08:51:03] ERR - wx6054b990b2f13757 - Run createCondMenu Faild. there is no selfmenu, please create selfmenu first hint: [k_LXpa00631977][65303]
[2018/07/31 08:53:57] ERR - wx6054b990b2f13757 - Run createCondMenu Faild. there is no selfmenu, please create selfmenu first hint: [PM_V702372297][65303]
[2018/07/31 08:56:39] ERR - wx6054b990b2f13757 - Run createMenu Faild. invalid sub button url size hint: [9zMRYa03991975][40027]
[2018/07/31 12:34:22] ERR - wx6054b990b2f13757 - WechatOauth::getOauthAccessToken Fail.code been used, hints: [ req_id: 5a5.Ka04622014 ] [40163]
[2018/07/31 12:43:30] ERR - wx6054b990b2f13757 - WechatOauth::getOauthAccessToken Fail.code been used, hints: [ req_id: JB8Yea00103114 ] [40163]
[2018/07/31 12:44:51] ERR - wx6054b990b2f13757 - WechatOauth::getOauthUserInfo Fail.api unauthorized, hints: [ req_id: nga8Ya0091hb41 ] [48001]
[2018/07/31 12:44:58] ERR - wx6054b990b2f13757 - WechatOauth::getOauthAccessToken Fail.code been used, hints: [ req_id: zejoSA00984123 ] [40163]
[2018/07/31 12:45:59] ERR - wx6054b990b2f13757 - WechatOauth::getOauthAccessToken Fail.code been used, hints: [ req_id: d9TLqa01594105 ] [40163]
[2018/07/31 12:46:32] ERR - wx6054b990b2f13757 - WechatOauth::getOauthAccessToken Fail.code been used, hints: [ req_id: LvCC3a01924128 ] [40163]
